2011. január 1.,,,2011. január 1.,2011. január 1.,,,2011. január 1.,,2011. január 1.,,,,2011. január 1.,,,,,,,,,,,,
Helység,,,Megye megnevezése ,Kistérség ,,,Körjegyzőség,,Terület  (hektár),Lakó-népesség,Lakások száma,Becsült terület-adatokkal,Kisebbségi önkormányzat,,,,,,,,,,,,
megnevezése,KSH kódja,jogállása,,kódja,neve,székhelye,kódja,székhelye,,,,,bolgár  ,cigány  ,görög  ,horvát  ,lengyel  ,német  ,örmény  ,román  ,ruszin  ,szerb  ,szlovák  ,szlovén  ,ukrán  
Kupa,18722,község,Borsod-Abaúj-Zemplén,3510,Szikszói,Szikszó,6,Felsővadász,784,150,79,,,,,,,,,,,,,,
Kurd,20507,község,Tolna,4702,Dombóvári,Dombóvár,4,Helyben,3119,1232,509,,,1,,,,1,,,,,,,
Kurityán,11819,község,Borsod-Abaúj-Zemplén,3504,Kazincbarcikai,Kazincbarcika,1,–,754,1657,606,,,1,,,,,,,,,,,
Kustánszeg,19479,község,Zala,5005,Zalaegerszegi,Zalaegerszeg,6,Barlahida,1142,509,211,,,,,,,,,,,,,,
Kutas,28857,község,Somogy,4407,Nagyatádi,Nagyatád,4,Helyben,3655,1488,516,,,1,,,,,,,,,,,
Kutasó,19451,község,Nógrád,4203,Pásztói,Pásztó,6,Nógrádsipek,605,111,78,,,,,,,,,,,,,,
Kübekháza,14410,község,Csongrád,3606,Szegedi,Szeged,1,–,2731,1535,594,,,1,,,,,,,,,,,
Külsősárd,32221,község,Zala,5002,Lenti,Lenti,6,Rédics,152,77,36,,,,,,,,,,,,,,
Külsővat,16142,község,Veszprém,4904,Pápai,Pápa,6,Csögle,1931,760,266,,,,,,,,,,,,,,
Küngös,04066,község,Veszprém,4902,Balatonalmádi,Balatonalmádi,6,Balatonkenese,940,508,182,,,,,,,,,,,,,,
Lábatlan,15255,város,Komárom-Esztergom,4102,Esztergomi,Esztergom,1,–,2635,5018,2099,,,1,,,,,,,,,,,
Lábod,28291,község,Somogy,4407,Nagyatádi,Nagyatád,4,Helyben,6651,1995,751,,,1,,,,,,,,,,,
Lácacséke,20844,község,Borsod-Abaúj-Zemplén,3513,Bodrogközi,Cigánd,4,Helyben,1637,255,209,,,1,,,,,,,,,,,
Lad,16258,község,Somogy,4401,Barcsi,Barcs,4,Helyben,2235,555,271,,,,,,,1,,,,,,,
Ladánybene,05786,község,Bács-Kiskun,3304,Kecskeméti,Kecskemét,1,–,4074,1685,803,,,,,,,,,,,,,,
Ládbesenyő,26231,község,Borsod-Abaúj-Zemplén,3502,Edelényi,Edelény,4,Helyben,1040,270,127,,,,,,1,,,,,,,,
Lajoskomárom,07506,nagyközség,Fejér,3703,Enyingi,Enying,1,–,7567,2131,893,,,,,,,,,,,,,,
Lajosmizse,17677,város,Bács-Kiskun,3304,Kecskeméti,Kecskemét,3,Helyben,16466,11149,4904,,,1,,,,,,,,,,,
Lak,15857,község,Borsod-Abaúj-Zemplén,3502,Edelényi,Edelény,4,Helyben,1976,607,209,,,1,,,,,,,,,,,
Lakhegy,33792,község,Zala,5005,Zalaegerszegi,Zalaegerszeg,6,Egervár,858,484,204,,,,,,,,,,,,,,
Lakitelek,06202,nagyközség,Bács-Kiskun,3304,Kecskeméti,Kecskemét,1,–,5466,4421,1973,,,,,,,,,,,,,,
Lakócsa,11040,község,Somogy,4401,Barcsi,Barcs,4,Helyben,2532,563,269,,,1,,1,,,,,,,,,
Lánycsók,33330,község,Baranya,3202,Mohácsi,Mohács,4,Helyben,2540,2509,877,,,1,,1,,1,,,,,,,
Lápafő,14605,község,Tolna,4702,Dombóvári,Dombóvár,6,Szakcs,931,152,84,,,,,,,,,,,,,,
Lapáncsa,06479,község,Baranya,3205,Siklósi,Siklós,6,Magyarbóly,436,195,78,,,,,,,,,,,,,,
Laskod,21290,község,Szabolcs-Szatmár-Bereg,4501,Baktalórántházai,Baktalórántháza,1,–,1359,969,415,,,1,,,,,,,,,,,
Lasztonya,03434,község,Zala,5003,Letenyei,Letenye,6,Bázakerettye,877,119,59,,,1,,,,,,,,,,,
Látrány,14863,község,Somogy,4403,Fonyódi,Fonyód,4,Helyben,2231,1343,580,,,1,,,,,,,,,,,
Lázi,04376,község,Győr-Moson-Sopron,3807,Pannonhalmai,Pannonhalma,6,Tápszentmiklós,1679,560,239,,,,,,,,,,,,,,
Leányfalu,30809,nagyközség,Pest,4314,Szentendrei,Szentendre,1,–,1537,3637,1169,,,,,,,,,,,,,,
Leányvár,25487,község,Komárom-Esztergom,4101,Dorogi,Dorog,1,–,726,1716,654,,,,,,,1,,,,,,,
Lébény,33668,nagyközség,Győr-Moson-Sopron,3804,Mosonmagyaróvári,Mosonmagyaróvár,1,–,8137,3179,1236,,,,,,,1,,,,,,,
Legénd,30395,község,Nógrád,4204,Rétsági,Rétság,6,Nógrádsáp,1841,467,239,,,1,,,,,,,,,1,,
Legyesbénye,11660,község,Borsod-Abaúj-Zemplén,3509,Szerencsi,Szerencs,1,–,2031,1527,630,,,,,,,,,,,,,,
Léh,03531,község,Borsod-Abaúj-Zemplén,3510,Szikszói,Szikszó,6,Kázsmárk,847,480,152,,,1,,,,,,,,,,,
Lénárddaróc,07038,község,Borsod-Abaúj-Zemplén,3506,Ózdi,Ózd,6,Csokvaomány,516,295,171,,,,,,,,,,,,,,
Lendvadedes,27483,község,Zala,5002,Lenti,Lenti,6,Rédics,402,33,26,,,,,,,,,,,,,,
Lendvajakabfa,11475,község,Zala,5002,Lenti,Lenti,6,Rédics,618,33,45,,,,,,,,,,,,,,
Lengyel,24411,község,Tolna,4701,Bonyhádi,Bonyhád,6,Györe,2003,531,240,,,,,,,1,,,,,,,
Lengyeltóti,26675,város,Somogy,4405,Lengyeltóti,Lengyeltóti,3,Helyben,3957,3262,1242,,,1,,,,,,,,,,,
Lenti,12575,város,Zala,5002,Lenti,Lenti,1,–,7380,7992,3406,,,1,,,,,,,,,,,
Lepsény,07269,nagyközség,Fejér,3703,Enyingi,Enying,1,–,3908,3069,1198,,,,,,,,,,,,,,
Lesencefalu,17570,község,Veszprém,4906,Tapolcai,Tapolca,6,Lesenceistvánd,718,301,154,,,,,,,,,,,,,,
Lesenceistvánd,21962,község,Veszprém,4906,Tapolcai,Tapolca,4,Helyben,864,964,391,*,,,,,,,,,,,,,
Lesencetomaj,17871,község,Veszprém,4906,Tapolcai,Tapolca,6,Lesenceistvánd,2408,1109,374,,,1,,,,,,,,,,,
Létavértes,05768,város,Hajdú-Bihar,3908,Derecske-Létavértesi,Létavértes,3,Helyben,11662,7058,2742,,,1,,,,,,1,,,,,
Letenye,12122,város,Zala,5003,Letenyei,Letenye,3,Helyben,4174,4119,1625,,,1,,1,,1,,,,,,,
Letkés,22682,község,Pest,4308,Szobi,Szob,1,–,2455,1141,458,,,1,,,,,,,,,,,
Levél,19239,község,Győr-Moson-Sopron,3804,Mosonmagyaróvári,Mosonmagyaróvár,1,–,2493,1798,659,,,,,,,1,,,,,,,
Levelek,30979,nagyközség,Szabolcs-Szatmár-Bereg,4501,Baktalórántházai,Baktalórántháza,3,Helyben,2573,2892,957,,,1,,,,,,,,,,,
Libickozma,32355,község,Somogy,4406,Marcali,Marcali,6,Pusztakovácsi,2297,56,52,,,,,,,,,,,,,,
Lickóvadamos,03054,község,Zala,5005,Zalaegerszegi,Zalaegerszeg,6,Gellénháza,669,198,126,,,,,,,,,,,,,,
Liget,17604,község,Baranya,3201,Komlói,Komló,6,Magyarszék,1207,422,142,,,1,,,,,,,,,,,
Ligetfalva,28200,község,Zala,5006,Zalaszentgróti,Zalaszentgrót,6,Zalacsány,473,48,35,,,1,,,,,,,,,,,
Lipót,16221,község,Győr-Moson-Sopron,3804,Mosonmagyaróvári,Mosonmagyaróvár,6,Darnózseli,1609,659,250,,,,,,,,,,,,,,
Lippó,22974,község,Baranya,3202,Mohácsi,Mohács,4,Helyben,1453,446,212,,,,,,,1,,,,1,,,
Liptód,10038,község,Baranya,3202,Mohácsi,Mohács,6,Babarc,1499,208,144,,,,,,,1,,,,,,,
Lispeszentadorján,10889,község,Zala,5003,Letenyei,Letenye,6,Bázakerettye,914,310,177,,,1,,,,,,,,,,,
Liszó,25025,község,Zala,5004,Nagykanizsai,Nagykanizsa,6,Surd,2591,414,166,,,,,,,,,,,,,,
Litér,04552,község,Veszprém,4902,Balatonalmádi,Balatonalmádi,4,Helyben,1283,2037,709,,,,,,,,,,,,,,
Litka,28219,község,Borsod-Abaúj-Zemplén,3503,Encsi,Encs,6,Fulókércs,670,49,49,,,,,,,,,,,,,,
Litke,04871,község,Nógrád,4205,Salgótarjáni,Salgótarján,6,Piliny,1816,841,364,,,1,,,,,,,,,,,
Lócs,29081,község,Vas,4802,Csepregi,Csepreg,6,Sajtoskál,513,130,97,,,,,,,,,,,,,,
Lókút,18856,község,Veszprém,4909,Zirci,Zirc,6,Olaszfalu,1811,507,193,,,,,,,1,,,,,,,
Lónya,26091,község,Szabolcs-Szatmár-Bereg,4510,Vásárosnaményi,Vásárosnamény,6,Tiszakerecseny,3548,661,422,,,,,,,,,,,,,,
Lórév,09140,község,Pest,4307,Ráckevei,Ráckeve,6,Makád,988,320,122,,1,,,,,,,,,1,,,
Lothárd,31389,község,Baranya,3207,Pécsi,Pécs,6,Kozármisleny,1046,248,111,,,,,1,,,,,,,,,
Lovas,05564,község,Veszprém,4903,Balatonfüredi,Balatonfüred,6,Paloznak,594,432,171,,,,,,,,,,,,,,
Lovasberény,19114,község,Fejér,3707,Székesfehérvári,Székesfehérvár,1,–,6062,2663,1109,,,,,,,,,,,,,,
Lovászhetény,24624,község,Baranya,3208,Pécsváradi,Pécsvárad,6,Pécsvárad,895,279,118,,,,,,,1,,,,,,,
Lovászi,28167,község,Zala,5002,Lenti,Lenti,4,Helyben,967,1205,590,,,1,,,,,,,,,,,
Lovászpatona,05087,község,Veszprém,4904,Pápai,Pápa,4,Helyben,4990,1132,520,,,1,,,,1,,,,,,,
Lőkösháza,21209,község,Békés,3408,Gyulai,Gyula,1,–,5202,1791,831,,,1,,,,,,1,,,,,
Lőrinci,30401,város,Heves,4005,Hatvani,Hatvan,1,–,2353,5969,2317,,,1,,,,,,,,,,,
Lövő,31194,község,Győr-Moson-Sopron,3805,Sopron-Fertődi,Sopron,4,Helyben,1747,1428,529,,,,,,,,,,,,,,
Lövőpetri,07995,község,Szabolcs-Szatmár-Bereg,4504,Kisvárdai,Kisvárda,6,Nyírlövő,926,443,221,,,,,,,,,,,,,,
Lucfalva,20190,község,Nógrád,4202,Bátonyterenyei,Bátonyterenye,4,Helyben,1410,603,234,,,1,,,,,,,,,1,,
Ludányhalászi,02778,község,Nógrád,4206,Szécsényi,Szécsény,1,–,2119,1591,500,,,1,,,,,,,,,,,
Ludas,15796,község,Heves,4004,Gyöngyösi,Gyöngyös,1,–,1079,809,382,,,,,,,,,,,,,,
Lukácsháza,14021,község,Vas,4804,Kőszegi,Kőszeg,4,Helyben,936,1047,391,,,,,,,,,,,,,,
Lulla,10010,község,Somogy,4409,Tabi,Tab,6,Tab,1039,210,94,,,,,,,,,,,,,,
Lúzsok,18865,község,Baranya,3204,Sellyei,Sellye,6,Vajszló,652,269,67,,,1,,,,,,,,,,,
Mád,03902,község,Borsod-Abaúj-Zemplén,3509,Szerencsi,Szerencs,4,Helyben,3186,2130,1210,,,,,,,,,,,,,,
Madaras,23357,község,Bács-Kiskun,3302,Bácsalmási,Bácsalmás,1,–,4930,2961,1557,,,,,,,,,,,,,,
Madocsa,29337,község,Tolna,4703,Paksi,Paks,1,–,4333,1877,842,,,,,,,,,,,,,,
Maglóca,26444,község,Győr-Moson-Sopron,3801,Csornai,Csorna,6,Bősárkány,577,94,68,,,,,,,,,,,,,,
Maglód,10922,város,Pest,4305,Monori,Monor,1,–,2237,11767,4022,,,1,,,,,,,,,1,,
Mágocs,06813,város,Baranya,3203,Sásdi,Sásd,3,Helyben,4254,2414,972,,,1,,,,1,,,,,,,
Magosliget,29984,község,Szabolcs-Szatmár-Bereg,4503,Fehérgyarmati,Fehérgyarmat,6,Botpalád,518,251,94,,,1,,,,,,,,,,,
Magy,16629,község,Szabolcs-Szatmár-Bereg,4501,Baktalórántházai,Baktalórántháza,1,–,2070,971,334,,,,,,,,,,,,,,
Magyaralmás,27678,község,Fejér,3705,Móri,Mór,1,–,2242,1526,579,,,,,,,,,,,,,,
Magyaratád,10427,község,Somogy,4404,Kaposvári,Kaposvár,4,Helyben,1882,843,371,,,,,,,,,,,,,,
Magyarbánhegyes,27906,község,Békés,3402,Mezőkovácsházai,Mezőkovácsháza,1,–,3656,2406,1101,,,1,,,,,,,,,,,
Magyarbóly,25177,község,Baranya,3205,Siklósi,Siklós,4,Helyben,1722,985,376,,,,,,,1,,,,1,,,
Magyarcsanád,05962,község,Csongrád,3604,Makói,Makó,1,–,4808,1509,752,,,1,,,,,,1,,1,,,
Magyardombegyház,11536,község,Békés,3402,Mezőkovácsházai,Mezőkovácsháza,6,Kisdombegyház,765,220,168,,,,,,,,,,,,,,
Magyaregregy,29753,község,Baranya,3201,Komlói,Komló,6,Szászvár,2681,731,341,,,1,,,,1,,,,,,,
Magyaregres,25371,község,Somogy,4404,Kaposvári,Kaposvár,6,Somogyaszaló,1440,662,212,,,,,,,,,,,,,,
Magyarföld,08916,község,Zala,5002,Lenti,Lenti,6,Csesztreg,889,38,26,,,,,,,,,,,,,,
Magyargéc,26967,község,Nógrád,4206,Szécsényi,Szécsény,6,Sóshartyán,1235,858,299,,,1,,,,,,,,,,,
Magyargencs,26374,község,Veszprém,4904,Pápai,Pápa,6,Nemesgörzsöny,3801,494,277,,,,,,,,,,,,,,
Magyarhertelend,05430,község,Baranya,3201,Komlói,Komló,4,Helyben,1616,635,260,,,,,,,1,,,,,,,
Magyarhomorog,03683,község,Hajdú-Bihar,3902,Berettyóújfalui,Berettyóújfalu,6,Körösszegapáti,3956,828,454,,,,,,,,,,,,,,
Magyarkeresztúr,13912,község,Győr-Moson-Sopron,3801,Csornai,Csorna,6,Mihályi,1674,433,227,,,,,,,,,,,,,,
Magyarkeszi,06017,község,Tolna,4705,Tamási,Tamási,4,Helyben,3816,1224,643,,,1,,,,,,,,,,,
Magyarlak,03221,község,Vas,4807,Szentgotthárdi,Szentgotthárd,6,Csörötnek,762,732,302,,,,,,,,,,,,,,
Magyarlukafa,23542,község,Baranya,3206,Szigetvári,Szigetvár,6,Somogyhárságy,1297,78,50,,,,,,,,,,,,,,
Magyarmecske,05412,község,Baranya,3204,Sellyei,Sellye,4,Helyben,1195,313,115,,,1,,,,,,,,,,,
Magyarnádalja,27289,község,Vas,4803,Körmendi,Körmend,6,Vasalja,385,216,87,,,,,,,,,,,,,,
Magyarnándor,32407,község,Nógrád,4201,Balassagyarmati,Balassagyarmat,4,Helyben,1867,1137,469,,,,,,,,,,,,,,
Magyarpolány,20437,község,Veszprém,4910,Ajkai,Ajka,4,Helyben,2697,1110,495,,,,,,,1,,,,,,,
Magyarsarlós,27067,község,Baranya,3207,Pécsi,Pécs,6,Nagykozár,803,297,113,,,,,1,,1,,,,,,,
Magyarszecsőd,17288,község,Vas,4803,Körmendi,Körmend,6,Molnaszecsőd,1126,428,196,,,,,,,,,,,,,,
Magyarszék,22600,község,Baranya,3201,Komlói,Komló,4,Helyben,1386,1095,383,,,1,,,,1,,,,,,,
Magyarszentmiklós,02909,község,Zala,5004,Nagykanizsai,Nagykanizsa,6,Újudvar,419,270,103,,,,,,,1,,,,,,,
Magyarszerdahely,13064,község,Zala,5004,Nagykanizsai,Nagykanizsa,6,Újudvar,1622,507,172,,,,,,,,,,,,,,
Magyarszombatfa,25423,község,Vas,4805,Őriszentpéteri,Őriszentpéter,4,Helyben,1594,264,152,,,,,,,,,,,,,,
Magyartelek,04385,község,Baranya,3204,Sellyei,Sellye,6,Magyarmecske,684,223,73,,,1,,,,,,,,,,,
Majosháza,10755,község,Pest,4307,Ráckevei,Ráckeve,1,–,1142,1570,553,,,,,,,,,,,,,,
Majs,27863,község,Baranya,3202,Mohácsi,Mohács,4,Helyben,3206,953,394,,,,,1,,1,,,,1,,,
Makád,04394,község,Pest,4307,Ráckevei,Ráckeve,4,Helyben,3177,1232,531,,,,,,,,,,,,,,
Makkoshotyka,19600,község,Borsod-Abaúj-Zemplén,3507,Sárospataki,Sárospatak,6,Erdőhorváti,1041,868,312,,,1,,,,,,,,,,,
Maklár,27696,község,Heves,4001,Egri,Eger,4,Helyben,2801,2406,975,,,,,,,,,,,,,,
Makó,07357,város,Csongrád,3604,Makói,Makó,1,–,22923,23727,11447,,,1,,,,,,1,,,,,
Malomsok,03610,község,Veszprém,4904,Pápai,Pápa,6,Marcaltő,2574,523,263,,,,,,,,,,,,,,
Mályi,27395,község,Borsod-Abaúj-Zemplén,3501,Miskolci,Miskolc,1,–,1128,4126,1374,,,,,,,,,,,,,,
Mályinka,14915,község,Borsod-Abaúj-Zemplén,3504,Kazincbarcikai,Kazincbarcika,6,Dédestapolcsány,2421,474,237,,,,,,,,,,,,,,
Mánd,02088,község,Szabolcs-Szatmár-Bereg,4503,Fehérgyarmati,Fehérgyarmat,6,Vámosoroszi,517,270,107,,,,,,,,,,,,,,
Mándok,17826,város,Szabolcs-Szatmár-Bereg,4512,Záhonyi,Záhony,3,Helyben,2891,4226,1489,,,1,,,,,,,,,,,
Mánfa,33923,község,Baranya,3201,Komlói,Komló,1,–,2770,865,331,,,1,,,,,,,,,,,
Mány,23490,község,Fejér,3701,Bicskei,Bicske,1,–,4472,2359,782,,,1,,,,1,,,,,,,
Maráza,29920,község,Baranya,3202,Mohácsi,Mohács,6,Geresdlak,970,177,108,,,,,,,1,,,,,,,
Marcalgergelyi,29294,község,Veszprém,4904,Pápai,Pápa,6,Nemesszalók,776,395,176,,,,,,,,,,,,,,
Marcali,18500,város,Somogy,4406,Marcali,Marcali,3,Helyben,10440,11571,4986,,,1,,,,,,,,,,,
Marcaltő,22220,község,Veszprém,4904,Pápai,Pápa,4,Helyben,2209,766,338,,,,,,,,,,,,,,
Márfa,09450,község,Baranya,3205,Siklósi,Siklós,6,Harkány,409,215,69,,,,,,,,,,,,,,
Máriahalom,22637,község,Komárom-Esztergom,4101,Dorogi,Dorog,1,–,1085,667,240,,,,,,,1,,,,,,,
Máriakálnok,12283,község,Győr-Moson-Sopron,3804,Mosonmagyaróvári,Mosonmagyaróvár,6,Halászi,1548,1712,567,,,,,,,1,,,,,,,
Máriakéménd,14483,község,Baranya,3202,Mohácsi,Mohács,6,Versend,1578,604,215,,,1,,,,1,,,,,,,
Márianosztra,04570,község,Pest,4308,Szobi,Szob,4,Helyben,2026,909,401,,,,,,,,,,,,,,
Máriapócs,19655,város,Szabolcs-Szatmár-Bereg,4507,Nyírbátori,Nyírbátor,1,–,2209,2069,731,,,1,,,,,,,1,,,,
Markaz,16540,község,Heves,4004,Gyöngyösi,Gyöngyös,1,–,2561,1761,799,,,1,,,,,,,,,,,
Márkháza,14641,község,Nógrád,4202,Bátonyterenyei,Bátonyterenye,4,Helyben,631,229,115,,,1,,,,,,,,,,,
Márkó,32212,község,Veszprém,4908,Veszprémi,Veszprém,4,Helyben,3441,1166,404,,,,,,,1,,,,,,,
Markóc,16443,község,Baranya,3204,Sellyei,Sellye,6,Drávafok,579,57,36,,,,,,,,,,,,,,
Markotabödöge,06770,község,Győr-Moson-Sopron,3801,Csornai,Csorna,4,Helyben,1629,445,242,,,,,,,,,,,,,,
Maróc,02103,község,Zala,5003,Letenyei,Letenye,6,Bázakerettye,516,85,70,,,,,,,,,,,,,,
Marócsa,15219,község,Baranya,3204,Sellyei,Sellye,6,Sellye,1138,92,57,,,1,,,,,,,,,,,
Márok,20659,község,Baranya,3205,Siklósi,Siklós,6,Villány,1593,434,191,,,,,,,1,,,,,,,
Márokföld,31981,község,Zala,5002,Lenti,Lenti,6,Csesztreg,744,49,40,,,,,,,,,,,,,,
Márokpapi,33224,község,Szabolcs-Szatmár-Bereg,4510,Vásárosnaményi,Vásárosnamény,6,Beregsurány,2118,451,222,,,1,,,,,,,,,,,
Maroslele,10515,község,Csongrád,3604,Makói,Makó,1,–,4656,2036,939,,,1,,,,,,,,,,,
Mártély,25733,község,Csongrád,3602,Hódmezővásárhelyi,Hódmezővásárhely,1,–,3645,1349,572,,,,,,,,,,,,,,
Martfű,02626,város,Jász-Nagykun-Szolnok,4604,Szolnoki,Szolnok,3,Helyben,2308,6521,2928,,,,,,,,,,,,,,
Martonfa,02228,község,Baranya,3208,Pécsváradi,Pécsvárad,6,Pécsvárad,569,205,83,,,,,,,,,,,,,,
Martonvásár,04659,város,Fejér,3710,Ercsi,Ercsi,1,–,3125,5740,1966,,,,,,,,,,,,,,
Martonyi,02024,község,Borsod-Abaúj-Zemplén,3502,Edelényi,Edelény,6,Szalonna,1757,392,182,,,1,,,,,,1,,,,,
Mátészalka,18874,város,Szabolcs-Szatmár-Bereg,4505,Mátészalkai,Mátészalka,1,–,4140,17086,7047,,,1,,,,1,,1,,,,,
Mátételke,27809,község,Bács-Kiskun,3302,Bácsalmási,Bácsalmás,6,Bácsalmás,2793,518,298,,,,,,,,,,,,,,
Mátraballa,19965,község,Heves,4006,Pétervásárai,Pétervására,6,Mátraderecske,2636,729,423,,,,,,,,,,,,,,
Mátraderecske,14872,község,Heves,4006,Pétervásárai,Pétervására,4,Helyben,1399,1886,995,,,1,,,,,,,,,,,
Mátramindszent,20075,község,Nógrád,4202,Bátonyterenyei,Bátonyterenye,6,Dorogháza,1673,812,447,,,1,,,,,,,,,,,
Mátranovák,19372,község,Nógrád,4202,Bátonyterenyei,Bátonyterenye,4,Helyben,2697,1724,1110,,,1,,,,,,,,,,,
Mátraszele,24332,község,Nógrád,4205,Salgótarjáni,Salgótarján,6,Mátraterenye,1697,1024,470,,,1,,,,,,,,,,,
Mátraszentimre,29045,község,Heves,4004,Gyöngyösi,Gyöngyös,1,–,2129,465,272,,,,,,,,,,,,1,,
Mátraszőlős,04330,község,Nógrád,4203,Pásztói,Pásztó,1,–,2916,1610,681,,,1,,,,,,,,,,,
Mátraterenye,33525,község,Nógrád,4202,Bátonyterenyei,Bátonyterenye,4,Helyben,2813,1771,898,,,1,,,,,,,,,,,
Mátraverebély,30100,község,Nógrád,4202,Bátonyterenyei,Bátonyterenye,1,–,1840,2068,875,,,1,,,,,,,,,,,
Mátyásdomb,16948,község,Fejér,3703,Enyingi,Enying,1,–,3539,733,283,,,,,,,,,,,,,,
Matty,15051,község,Baranya,3205,Siklósi,Siklós,6,Siklós,1690,342,147,,,,,,,,,,,,,,
Mátyus,20668,község,Szabolcs-Szatmár-Bereg,4510,Vásárosnaményi,Vásárosnamény,6,Tiszakerecseny,1103,296,145,,,,,,,,,,,,,,
Máza,33756,község,Baranya,3201,Komlói,Komló,1,–,1069,1237,486,,,1,,,,1,,,,,,,
Mecseknádasd,13444,község,Baranya,3208,Pécsváradi,Pécsvárad,4,Helyben,3608,1513,635,,,,,,,1,,,,,,,
Mecsekpölöske,11402,község,Baranya,3201,Komlói,Komló,6,Magyarszék,731,420,154,,,,,,,,,,,,,,
Mecsér,27359,község,Győr-Moson-Sopron,3804,Mosonmagyaróvári,Mosonmagyaróvár,6,Darnózseli,2109,589,296,,,,,,,,,,,,,,
Medgyesbodzás,20765,község,Békés,3402,Mezőkovácsházai,Mezőkovácsháza,1,–,3167,1073,593,,,,,,,,,1,,,,,
Medgyesegyháza,30128,város,Békés,3402,Mezőkovácsházai,Mezőkovácsháza,1,–,6429,3711,1870,,,,,,,,,1,,,1,,
Medina,30562,község,Tolna,4704,Szekszárdi,Szekszárd,6,Zomba,2224,821,349,,,1,,,,,,,,1,,,
Megyaszó,21768,község,Borsod-Abaúj-Zemplén,3509,Szerencsi,Szerencs,1,–,5342,2760,922,,,,,,,,,,,,,,
Megyehíd,30872,község,Vas,4806,Sárvári,Sárvár,6,Pecöl,599,330,124,,,,,,,,,,,,,,
Megyer,04987,község,Veszprém,4905,Sümegi,Sümeg,6,Dabronc,426,13,25,,,,,,,,,,,,,,
Meggyeskovácsi,25760,község,Vas,4806,Sárvári,Sárvár,1,–,2464,709,329,,,1,,,,,,,,,,,
Méhkerék,23931,község,Békés,3404,Sarkadi,Sarkad,4,Helyben,2585,2071,881,,,1,,,,,,1,,,,,
Méhtelek,29799,község,Szabolcs-Szatmár-Bereg,4503,Fehérgyarmati,Fehérgyarmat,4,Helyben,862,666,279,,,,,,,,,,,,,,
Mekényes,30492,község,Baranya,3203,Sásdi,Sásd,6,Mágocs,1777,263,146,,,1,,,,1,,,,,,,
Mélykút,16018,város,Bács-Kiskun,3310,Jánoshalmai,Jánoshalma,1,–,12346,5196,2918,,,1,,,,,,,,,,,
Mencshely,27137,község,Veszprém,4908,Veszprémi,Veszprém,6,Nagyvázsony,1261,255,122,,,1,,,,,,,,,,,
Mende,03692,község,Pest,4306,Nagykátai,Nagykáta,1,–,2715,4224,1505,,,1,,,,,,,,,,,
Méra,25618,község,Borsod-Abaúj-Zemplén,3503,Encsi,Encs,1,–,1511,1754,598,,,1,,,,,,,,,,,1
Merenye,07737,község,Baranya,3206,Szigetvári,Szigetvár,6,Nagydobsza,1447,273,124,,,1,,,,,,,,,,,
Mérges,20385,község,Győr-Moson-Sopron,3806,Téti,Tét,6,Rábacsécsény,651,74,54,,,,,,,,,,,,,,
Mérk,07463,nagyközség,Szabolcs-Szatmár-Bereg,4505,Mátészalkai,Mátészalka,1,–,2508,2094,817,,,1,,,,1,,,,,,,
Mernye,23630,község,Somogy,4404,Kaposvári,Kaposvár,4,Helyben,2593,1433,566,,,,,,,,,,,,,,
Mersevát,14809,község,Vas,4801,Celldömölki,Celldömölk,6,Celldömölk,1054,567,231,,,,,,,,,,,,,,
Mesterháza,31875,község,Vas,4802,Csepregi,Csepreg,6,Bő,419,145,81,,,,,,,,,,,,,,
Mesteri,15723,község,Vas,4801,Celldömölki,Celldömölk,4,Helyben,1169,236,155,,,,,,,,,,,,,,
Mesterszállás,30234,község,Jász-Nagykun-Szolnok,4607,Mezőtúri,Mezőtúr,6,Mezőtúr,4292,698,393,,,,,,,,,,,,,,
Meszes,11758,község,Borsod-Abaúj-Zemplén,3502,Edelényi,Edelény,6,Szalonna,1140,153,117,,,,,,,,,,,,,,
Meszlen,32832,község,Vas,4808,Szombathelyi,Szombathely,6,Acsád,1202,214,99,,,,,,,,,,,,,,
Mesztegnyő,16106,község,Somogy,4406,Marcali,Marcali,4,Helyben,4471,1393,558,,,,,,,,,,,,,,
Mezőberény,19628,város,Békés,3407,Békési,Békés,1,–,11853,11121,4623,,,1,,,,1,,,,,1,,
Mezőcsát,13833,város,Borsod-Abaúj-Zemplén,3514,Mezőcsáti,Mezőcsát,1,–,10308,5993,2493,,,1,,,,,,,,,,,
Mezőcsokonya,30854,község,Somogy,4404,Kaposvári,Kaposvár,1,–,3078,1251,456,,,1,,,,,,,,,,,
Meződ,03470,község,Baranya,3203,Sásdi,Sásd,6,Sásd,1041,123,75,,,,,,,,,,,,,,
Mezőfalva,17552,nagyközség,Fejér,3702,Dunaújvárosi,Dunaújváros,1,–,8042,4699,1733,,,1,,,,1,,,,,,,
Mezőgyán,04206,község,Békés,3404,Sarkadi,Sarkad,1,–,5987,1066,550,,,1,,,,,,,,,,,
Mezőhegyes,11873,város,Békés,3402,Mezőkovácsházai,Mezőkovácsháza,1,–,15544,5134,2900,,,,,,,,,,,,,,
Mezőhék,26286,község,Jász-Nagykun-Szolnok,4607,Mezőtúri,Mezőtúr,6,Martfű,8982,326,203,,,,,,,,,,,,,,
Mezőkeresztes,11323,város,Borsod-Abaúj-Zemplén,3505,Mezőkövesdi,Mezőkövesd,1,–,7425,3891,1759,*,,1,,,,,,,,,,,
