2011. január 1.,,,2011. január 1.,2011. január 1.,,,2011. január 1.,,2011. január 1.,,,,2011. január 1.,,,,,,,,,,,,
Helység,,,Megye megnevezése ,Kistérség ,,,Körjegyzőség,,Terület  (hektár),Lakó-népesség,Lakások száma,Becsült terület-adatokkal,Kisebbségi önkormányzat,,,,,,,,,,,,
megnevezése,KSH kódja,jogállása,,kódja,neve,székhelye,kódja,székhelye,,,,,bolgár  ,cigány  ,görög  ,horvát  ,lengyel  ,német  ,örmény  ,román  ,ruszin  ,szerb  ,szlovák  ,szlovén  ,ukrán  
Alsópetény,16425,község,Nógrád,4204,Rétsági,Rétság,6,Romhány,1968,703,315,,,1,,,,,,,,,1,,
Alsórajk,18829,község,Zala,5008,Pacsai,Pacsa,4,Helyben,845,354,175,,,,,,,,,,,,,,
Alsóregmec,23223,község,Borsod-Abaúj-Zemplén,3508,Sátoraljaújhelyi,Sátoraljaújhely,6,Mikóháza,1539,190,92,,,,,,,,,,,,1,,
Alsószenterzsébet,08767,község,Zala,5002,Lenti,Lenti,6,Csesztreg,963,72,40,,,,,,,,,,,,,,
Alsószentiván,25283,község,Fejér,3706,Sárbogárdi,Sárbogárd,6,Alap,3965,614,289,,,,,,,,,,,,,,
Alsószentmárton,33279,község,Baranya,3205,Siklósi,Siklós,1,–,1361,1186,311,,,1,,,,,,,,,,,
Alsószölnök,22549,község,Vas,4807,Szentgotthárdi,Szentgotthárd,4,Helyben,1002,373,171,,,,,,,1,,,,,,1,
Alsószuha,28839,község,Borsod-Abaúj-Zemplén,3504,Kazincbarcikai,Kazincbarcika,6,Zubogy,2242,467,187,,,1,,,,,,,,,,,
Alsótelekes,08217,község,Borsod-Abaúj-Zemplén,3504,Kazincbarcikai,Kazincbarcika,6,Rudabánya,644,145,93,,,,,,,,,,,,,,
Alsótold,07621,község,Nógrád,4203,Pásztói,Pásztó,6,Hollókő,786,244,109,,,,,,,,,,,,,,
Alsóújlak,22725,község,Vas,4809,Vasvári,Vasvár,1,–,2102,572,308,,,,,,,,,,,,,,
Alsóvadász,29814,község,Borsod-Abaúj-Zemplén,3510,Szikszói,Szikszó,1,–,2290,1552,454,,,,,,,,,,,,,,
Alsózsolca,21032,város,Borsod-Abaúj-Zemplén,3501,Miskolci,Miskolc,1,–,2602,5977,1846,,,1,,,,,,,,,,,
