Település,Megye,Település típusa,Szavazókör db,Névjegyzékben szereplő választópolgárok száma,Megjelentek száma,Bélyegző nélküli szavazólapok száma,Lebélyegzett szavazólapok száma,"Érvénytelen, lebélyegzett szavazólapok száma",Érvényes szavazólapok száma,MSZP-PÁRBESZÉD,MKKP,JOBBIK,FIDESZ,MOMENTUM,DK,MI HAZÁNK,MUNKÁSPÁRT,LMP
Bársonyos,Komárom-Esztergom,Község,1,635,225,0,225,0,225,6,1,19,170,7,15,5,0,2
Bokod,Komárom-Esztergom,Község,2,1740,689,0,689,1,688,42,7,47,367,48,129,30,2,16
Császár,Komárom-Esztergom,Község,2,1525,583,0,583,1,582,33,14,47,337,43,68,21,2,17
Csatka,Komárom-Esztergom,Község,1,197,95,0,95,0,95,2,3,13,55,6,12,2,0,2
Csém,Komárom-Esztergom,Község,1,349,136,0,136,1,135,8,2,6,90,2,21,6,0,0
Csép,Komárom-Esztergom,Község,1,292,96,0,96,0,96,8,2,11,50,6,14,1,4,0
Csolnok,Komárom-Esztergom,Község,3,2639,1037,0,1037,4,1033,61,23,108,494,104,170,45,5,23
Dad,Komárom-Esztergom,Község,1,823,372,0,372,0,372,9,6,34,245,14,49,11,1,3
Dág,Komárom-Esztergom,Község,1,750,351,0,351,3,348,10,9,27,238,17,28,12,1,6
Dorog,Komárom-Esztergom,Város,10,9724,3636,1,3635,14,3621,185,109,433,1411,340,898,146,17,82
Dömös,Komárom-Esztergom,Község,1,973,405,0,405,0,405,17,12,28,229,46,48,16,1,8
Dunaalmás,Komárom-Esztergom,Község,2,1267,595,0,595,1,594,36,14,42,328,37,88,36,4,9
Dunaszentmiklós,Komárom-Esztergom,Község,1,372,180,0,180,1,179,6,4,8,117,24,7,8,0,5
Epöl,Komárom-Esztergom,Község,1,502,285,0,285,1,284,10,2,21,201,10,23,14,0,3
Esztergom,Komárom-Esztergom,Város,27,22881,10361,1,10357,46,10311,470,338,649,5355,1034,1891,304,22,248
Ete,Komárom-Esztergom,Község,1,479,238,0,238,1,237,10,4,20,175,5,16,5,0,2
Gyermely,Komárom-Esztergom,Község,1,1176,551,0,551,3,548,16,13,21,354,64,52,14,1,13
Héreg,Komárom-Esztergom,Község,1,841,315,0,315,2,313,16,5,28,188,12,39,15,0,10
Kecskéd,Komárom-Esztergom,Község,2,1662,677,0,677,3,674,30,15,43,371,55,110,33,1,16
Kerékteleki,Komárom-Esztergom,Község,1,548,169,0,169,0,169,6,0,17,101,7,26,7,1,4
Kesztölc,Komárom-Esztergom,Község,3,2187,862,0,862,6,856,41,34,87,398,81,174,25,2,14
Kisbér,Komárom-Esztergom,Város,6,4478,1881,3,1879,22,1857,106,35,135,1176,74,236,58,7,30
Kisigmánd,Komárom-Esztergom,Község,1,437,143,0,143,0,143,3,3,15,80,6,26,2,6,2
Kocs,Komárom-Esztergom,Község,2,2093,865,0,865,7,858,19,20,44,589,41,80,45,3,17
Komárom,Komárom-Esztergom,Város,17,15268,6931,0,6931,39,6892,296,175,383,3743,453,1360,296,45,141
Kömlőd,Komárom-Esztergom,Község,1,857,313,0,313,5,308,21,4,26,144,29,61,16,0,7
Környe,Komárom-Esztergom,Község,4,3763,1531,1,1530,4,1526,103,35,107,686,125,339,77,11,43
Lábatlan,Komárom-Esztergom,Város,5,4033,1461,0,1461,9,1452,78,36,165,706,86,287,61,12,21
Leányvár,Komárom-Esztergom,Község,1,1425,591,0,591,4,587,17,29,67,289,72,79,20,2,12
Máriahalom,Komárom-Esztergom,Község,1,545,182,0,182,3,179,5,5,18,96,21,23,5,0,6
Mocsa,Komárom-Esztergom,Község,2,1743,719,0,719,5,714,36,13,39,480,35,72,29,2,8
Mogyorósbánya,Komárom-Esztergom,Község,1,704,288,0,288,2,286,19,14,30,128,22,49,14,0,10
Nagyigmánd,Komárom-Esztergom,Község,4,2326,936,0,936,10,926,49,21,73,578,49,108,26,3,19
Nagysáp,Komárom-Esztergom,Község,1,1150,361,0,361,0,361,15,5,22,232,16,50,13,1,7
Naszály,Komárom-Esztergom,Község,2,1915,724,0,724,8,716,45,19,58,356,52,139,31,3,13
Neszmély,Komárom-Esztergom,Község,2,1098,482,0,482,1,481,23,10,39,277,23,69,20,2,18
Nyergesújfalu,Komárom-Esztergom,Város,7,5993,2533,1,2532,10,2522,150,76,224,1126,254,529,94,4,65
Oroszlány,Komárom-Esztergom,Város,16,14970,5434,0,5434,31,5403,386,157,405,2383,379,1407,179,17,90
Piliscsév,Komárom-Esztergom,Község,2,2049,889,2,885,7,878,26,30,117,478,68,107,31,6,15
Pilismarót,Komárom-Esztergom,Község,2,1685,738,0,738,3,735,19,15,60,437,45,105,37,4,13
Réde,Komárom-Esztergom,Község,1,1063,369,0,369,3,366,18,6,32,242,6,40,15,3,4
Sárisáp,Komárom-Esztergom,Község,3,2280,782,0,782,1,781,70,11,86,302,76,191,28,4,13
Súr,Komárom-Esztergom,Község,1,991,347,0,347,3,344,18,5,33,211,12,43,16,2,4
Süttő,Komárom-Esztergom,Község,2,1656,685,0,685,4,681,26,11,61,334,42,165,27,2,13
Szákszend,Komárom-Esztergom,Község,1,1195,412,0,412,3,409,32,11,24,245,14,62,13,0,8
Szárliget,Komárom-Esztergom,Község,2,1945,874,0,874,4,870,54,31,49,383,81,202,45,5,20
Szomód,Komárom-Esztergom,Község,2,1751,742,0,742,5,737,30,26,45,396,80,108,24,4,24
Szomor,Komárom-Esztergom,Község,1,895,430,0,430,4,426,17,18,30,226,38,58,16,2,21
Tardos,Komárom-Esztergom,Község,1,1367,518,0,518,2,516,30,7,40,225,72,107,16,2,17
Tarján,Komárom-Esztergom,Község,3,2137,954,0,954,5,949,35,32,53,547,88,141,26,2,25
Tárkány,Komárom-Esztergom,Község,2,1153,346,0,346,3,343,16,5,19,221,12,52,13,2,3
Tát,Komárom-Esztergom,Város,6,4540,1927,1,1924,9,1915,92,61,165,946,184,350,65,6,46
Tata,Komárom-Esztergom,Város,24,18661,9344,1,9341,40,9301,558,218,430,4680,1268,1640,254,40,213
Tatabánya,Komárom-Esztergom,Megyei jogú város,60,54681,22157,5,22151,114,22037,1593,586,1535,9614,1938,5407,706,115,543
Tokod,Komárom-Esztergom,Község,5,3375,1304,0,1304,8,1296,54,24,145,654,88,255,42,6,28
Tokodaltáró,Komárom-Esztergom,Község,3,2294,769,0,769,4,765,36,17,94,353,65,152,32,5,11
Úny,Komárom-Esztergom,Község,1,600,253,0,253,1,252,16,15,19,150,16,25,3,0,8
Várgesztes,Komárom-Esztergom,Község,1,493,244,0,244,1,243,14,6,13,142,22,31,6,0,9
Vérteskethely,Komárom-Esztergom,Község,1,479,210,0,210,3,207,7,10,20,128,10,19,8,1,4
Vértessomló,Komárom-Esztergom,Község,1,1103,505,1,503,4,499,23,8,42,240,61,88,23,2,12
Vértesszőlős,Komárom-Esztergom,Község,3,2715,1153,0,1153,3,1150,64,33,62,540,147,241,34,2,27
Vértestolna,Komárom-Esztergom,Község,1,449,196,0,196,2,194,9,5,14,98,23,33,8,2,2
Alsópetény,Nógrád,Község,1,480,210,0,210,0,210,5,4,23,108,12,49,6,1,2
Alsótold,Nógrád,Község,1,201,109,0,109,1,108,8,2,6,71,4,11,4,2,0
Balassagyarmat,Nógrád,Város,16,12462,5512,0,5512,20,5492,466,91,312,2562,435,1145,296,83,102
Bánk,Nógrád,Község,1,612,338,0,338,2,336,18,8,18,185,22,60,18,3,4
Bárna,Nógrád,Község,1,796,296,0,296,2,294,21,4,13,192,11,41,11,0,1
Bátonyterenye,Nógrád,Város,15,9955,3652,0,3651,11,3640,308,60,289,1893,148,728,142,22,50
Becske,Nógrád,Község,1,445,161,0,161,0,161,12,2,12,108,1,17,8,0,1
Bér,Nógrád,Község,1,300,129,0,129,1,128,4,1,8,93,2,13,4,2,1
Bercel,Nógrád,Község,2,1387,637,0,637,3,634,18,9,48,452,18,47,31,1,10
Berkenye,Nógrád,Község,1,531,263,0,263,1,262,5,9,13,187,19,19,8,1,1
Bokor,Nógrád,Község,1,92,56,0,56,0,56,3,4,3,30,6,9,1,0,0
Borsosberény,Nógrád,Község,1,763,254,0,254,0,254,26,2,25,128,12,48,6,4,3
Buják,Nógrád,Község,2,1660,566,0,566,2,564,19,1,35,366,22,69,42,4,6
Cered,Nógrád,Község,1,885,279,0,279,0,279,23,6,27,141,20,49,2,3,8
Csécse,Nógrád,Község,1,740,244,0,244,2,242,9,2,29,126,5,46,19,2,4
Cserháthaláp,Nógrád,Község,1,293,156,0,156,0,156,3,2,6,67,3,16,55,3,1
Cserhátsurány,Nógrád,Község,1,661,245,0,245,0,245,10,3,13,164,17,14,21,0,3
Cserhátszentiván,Nógrád,Község,1,96,64,0,64,0,64,2,2,3,43,0,10,2,2,0
Csesztve,Nógrád,Község,1,259,109,2,107,2,105,9,3,9,56,1,14,13,0,0
Csitár,Nógrád,Község,1,328,126,0,126,0,126,7,1,8,92,3,9,6,0,0
Debercsény,Nógrád,Község,1,73,45,0,45,2,43,0,0,3,31,1,1,7,0,0
Dejtár,Nógrád,Község,1,1138,414,0,414,5,409,27,2,20,246,31,58,11,3,11
Diósjenő,Nógrád,Község,3,2266,946,0,946,6,940,62,13,48,576,59,110,54,3,15
Dorogháza,Nógrád,Község,2,845,380,1,379,1,378,27,6,29,233,23,43,8,4,5
Drégelypalánk,Nógrád,Község,1,1131,415,0,415,1,414,9,7,46,280,15,39,12,3,3
Ecseg,Nógrád,Község,1,896,283,0,283,5,278,23,6,23,165,3,43,15,0,0
Egyházasdengeleg,Nógrád,Község,1,374,152,0,152,0,152,11,4,5,94,5,23,4,3,3
Egyházasgerge,Nógrád,Község,1,532,199,0,199,1,198,6,4,14,133,2,28,5,1,5
Endrefalva,Nógrád,Község,1,882,164,0,164,0,164,8,2,9,123,5,11,4,2,0
Erdőkürt,Nógrád,Község,1,440,231,0,231,0,231,13,9,10,148,20,14,11,3,3
Erdőtarcsa,Nógrád,Község,1,428,156,0,156,1,155,7,0,13,106,6,16,7,0,0
Érsekvadkert,Nógrád,Község,4,2891,1179,0,1179,9,1170,37,12,82,811,45,113,48,5,17
Etes,Nógrád,Község,3,1084,360,0,360,0,360,18,4,40,206,12,49,19,5,7
Felsőpetény,Nógrád,Község,1,480,262,0,262,1,261,4,2,12,217,6,13,4,0,3
Felsőtold,Nógrád,Község,1,107,53,0,53,2,51,5,3,4,25,1,11,1,0,1
Galgaguta,Nógrád,Község,1,515,209,0,209,1,208,5,4,14,134,8,27,11,2,3
Garáb,Nógrád,Község,1,43,28,0,28,0,28,0,0,4,22,1,0,1,0,0
Héhalom,Nógrád,Község,1,826,291,0,291,2,289,13,4,13,204,14,27,5,4,5
Herencsény,Nógrád,Község,1,468,177,0,177,1,176,5,0,4,130,3,17,9,6,2
Hollókő,Nógrád,Község,1,298,198,0,198,3,195,15,0,5,132,19,13,8,0,3
Hont,Nógrád,Község,1,422,199,0,199,0,199,5,6,8,149,7,9,8,1,6
Horpács,Nógrád,Község,1,149,81,0,81,0,81,25,0,4,35,1,11,2,1,2
Hugyag,Nógrád,Község,1,632,162,0,162,3,159,14,2,9,96,4,25,5,1,3
Iliny,Nógrád,Község,1,132,77,0,77,0,77,2,0,4,54,1,5,11,0,0
Ipolyszög,Nógrád,Község,1,491,199,0,199,4,195,6,2,14,126,13,18,14,0,2
Ipolytarnóc,Nógrád,Község,1,356,134,0,134,1,133,7,0,7,82,11,10,12,2,2
Ipolyvece,Nógrád,Község,1,654,250,0,250,2,248,6,7,16,182,15,15,4,1,2
Jobbágyi,Nógrád,Község,2,1586,552,0,552,5,547,40,5,61,275,21,112,22,0,11
Kálló,Nógrád,Község,1,1066,358,0,358,1,357,11,2,23,258,14,36,10,1,2
Karancsalja,Nógrád,Község,2,1258,441,0,441,1,440,40,9,24,231,23,67,35,3,8
Karancsberény,Nógrád,Község,1,700,257,0,257,2,255,13,3,25,162,9,22,14,2,5
Karancskeszi,Nógrád,Község,3,1436,471,0,471,4,467,26,6,33,279,16,77,17,8,5
Karancslapujtő,Nógrád,Község,3,2084,790,0,790,3,787,55,6,48,467,38,111,38,15,9
Karancsság,Nógrád,Község,1,936,216,0,216,2,214,9,3,9,148,6,25,11,1,2
Kazár,Nógrád,Község,3,1432,423,1,423,7,416,25,10,37,230,20,61,14,13,6
Keszeg,Nógrád,Község,1,560,257,0,257,1,256,11,4,14,161,17,23,20,2,4
Kétbodony,Nógrád,Község,1,398,189,0,189,2,187,12,4,10,120,12,22,6,0,1
Kisbágyon,Nógrád,Község,1,335,128,0,128,1,127,10,1,8,63,7,30,2,0,6
Kisbárkány,Nógrád,Község,1,141,94,0,94,0,94,0,1,3,76,1,5,6,0,2
Kisecset,Nógrád,Község,1,152,94,0,94,4,90,4,2,2,65,3,8,4,2,0
Kishartyán,Nógrád,Község,1,469,193,0,193,2,191,13,3,17,109,8,27,11,1,2
Kozárd,Nógrád,Község,1,142,88,0,88,0,88,0,1,4,69,0,8,5,0,1
Kutasó,Nógrád,Község,1,88,57,0,57,0,57,5,0,3,27,8,11,1,1,1
Legénd,Nógrád,Község,1,373,148,0,148,7,141,4,3,13,95,4,16,3,1,2
Litke,Nógrád,Község,1,612,164,0,164,1,163,12,1,5,104,4,27,3,4,3
Lucfalva,Nógrád,Község,1,480,206,0,206,0,206,10,1,11,158,2,13,7,0,4
Ludányhalászi,Nógrád,Község,2,1036,327,0,327,5,322,11,1,20,219,10,50,8,1,2
Magyargéc,Nógrád,Község,2,614,234,0,234,1,233,7,1,8,182,7,21,2,4,1
Magyarnándor,Nógrád,Község,1,918,345,0,345,3,342,30,3,23,181,14,55,21,7,8
Márkháza,Nógrád,Község,1,186,91,0,91,0,91,0,1,8,74,1,6,0,0,1
Mátramindszent,Nógrád,Község,1,652,274,0,274,3,271,25,7,22,161,6,32,12,1,5
Mátranovák,Nógrád,Község,2,1395,510,0,510,4,506,45,6,28,296,23,73,27,3,5
Mátraszele,Nógrád,Község,1,760,294,1,294,3,291,14,5,32,172,14,41,8,1,4
Mátraszőlős,Nógrád,Község,1,1217,411,0,411,1,410,27,2,49,215,15,80,17,1,4
Mátraterenye,Nógrád,Község,2,1451,497,0,497,2,495,28,3,36,283,6,107,26,4,2
Mátraverebély,Nógrád,Község,3,1485,407,0,407,7,400,27,0,34,247,10,66,11,4,1
Mihálygerge,Nógrád,Község,1,474,208,0,208,0,208,13,1,13,110,11,45,10,2,3
Mohora,Nógrád,Község,1,754,251,0,251,2,249,9,5,16,130,15,36,23,12,3
Nagybárkány,Nógrád,Község,1,480,200,0,200,0,200,11,4,7,158,4,12,4,0,0
Nagykeresztúr,Nógrád,Község,1,216,97,0,97,1,96,2,0,9,66,1,14,3,0,1
Nagylóc,Nógrád,Község,3,1157,385,0,385,0,385,14,6,29,275,4,30,18,5,4
Nagyoroszi,Nógrád,Község,2,1595,591,0,591,9,582,23,19,52,309,26,121,25,1,6
Nemti,Nógrád,Község,1,607,254,0,254,0,254,14,3,23,143,4,51,10,4,2
Nézsa,Nógrád,Község,1,957,365,0,365,8,357,8,5,20,268,14,27,11,0,4
Nógrád,Nógrád,Község,2,1276,667,0,667,1,666,39,12,43,379,55,89,33,3,13
Nógrádkövesd,Nógrád,Község,1,530,210,0,210,0,210,20,1,9,109,17,37,13,3,1
Nógrádmarcal,Nógrád,Község,1,376,143,0,143,0,143,7,0,6,106,8,8,4,3,1
Nógrádmegyer,Nógrád,Község,2,1240,318,0,318,4,314,22,1,17,229,2,32,3,5,3
Nógrádsáp,Nógrád,Község,1,754,314,0,314,1,313,12,5,22,224,5,26,10,2,7
Nógrádsipek,Nógrád,Község,1,606,261,0,261,0,261,17,2,21,176,6,15,19,3,2
Nógrádszakál,Nógrád,Község,1,464,178,0,178,2,176,21,1,9,113,4,23,3,0,2
Nőtincs,Nógrád,Község,1,975,434,0,434,1,433,22,11,28,253,34,55,19,0,11
Őrhalom,Nógrád,Község,1,800,331,0,330,0,330,18,6,28,189,18,48,19,1,3
Ősagárd,Nógrád,Község,1,277,142,0,142,1,141,1,2,12,102,4,10,8,1,1
Palotás,Nógrád,Község,2,1323,530,0,530,4,526,37,11,55,277,35,80,15,3,13
Pásztó,Nógrád,Város,9,7563,3294,0,3294,25,3269,175,58,246,1877,209,519,130,20,35
Patak,Nógrád,Község,1,734,363,0,363,2,361,12,8,20,250,11,32,25,1,2
Patvarc,Nógrád,Község,1,604,272,0,272,5,267,11,8,27,146,21,31,9,4,10
Piliny,Nógrád,Község,1,454,173,0,173,1,172,13,3,6,103,4,15,25,1,2
Pusztaberki,Nógrád,Község,1,123,70,0,70,0,70,9,2,7,43,0,6,2,0,1
Rákóczibánya,Nógrád,Község,1,496,182,0,182,1,181,11,3,26,100,7,28,4,2,0
Rétság,Nógrád,Város,2,2255,972,0,972,6,966,51,28,71,491,58,177,70,5,15
Rimóc,Nógrád,Község,2,1307,415,1,414,2,412,14,3,41,290,15,27,15,1,6
Romhány,Nógrád,Község,2,1831,668,0,668,4,664,31,14,40,355,38,121,40,4,21
Ságújfalu,Nógrád,Község,1,765,214,0,214,3,211,11,5,22,121,9,23,11,1,8
Salgótarján,Nógrád,Megyei jogú város,40,28915,11494,2,11486,48,11438,1457,186,597,5397,688,2418,420,113,162
Sámsonháza,Nógrád,Község,1,219,118,1,117,1,116,6,1,6,70,6,13,9,1,4
Somoskőújfalu,Nógrád,Község,2,1814,761,0,761,2,759,40,8,47,426,35,131,59,8,5
Sóshartyán,Nógrád,Község,1,642,168,0,168,0,168,10,2,8,125,4,11,6,1,1
Szalmatercs,Nógrád,Község,1,355,123,0,123,1,122,7,0,8,86,5,7,7,0,2
Szanda,Nógrád,Község,2,514,219,0,219,2,217,16,6,14,138,5,26,9,0,3
Szarvasgede,Nógrád,Község,1,334,129,0,129,1,128,7,2,12,90,3,7,3,1,3
Szátok,Nógrád,Község,1,365,103,0,103,1,102,2,2,7,76,1,7,6,1,0
Szécsénke,Nógrád,Község,1,173,107,0,107,0,107,5,3,3,86,0,9,0,1,0
Szécsény,Nógrád,Város,6,4705,2038,0,2038,11,2027,156,27,170,1226,84,254,74,11,25
Szécsényfelfalu,Nógrád,Község,1,327,143,0,143,0,143,14,4,9,96,4,3,10,2,1
Szendehely,Nógrád,Község,2,1288,616,0,616,5,611,14,11,34,396,50,74,19,2,11
Szente,Nógrád,Község,1,266,123,0,123,1,122,1,2,6,93,7,9,2,0,2
Szilaspogony,Nógrád,Község,1,223,101,0,101,0,101,4,0,3,78,0,7,6,2,1
Szirák,Nógrád,Község,1,835,195,0,195,1,194,13,3,15,127,8,15,10,3,0
Szuha,Nógrád,Község,2,457,233,0,233,1,232,7,9,29,108,16,44,9,7,3
Szurdokpüspöki,Nógrád,Község,2,1578,615,0,615,7,608,39,6,65,362,35,69,16,4,12
Szügy,Nógrád,Község,2,1173,508,2,506,6,500,44,18,31,199,53,88,47,11,9
Tar,Nógrád,Község,2,1520,490,0,490,0,490,41,12,47,297,13,53,15,4,8
Terény,Nógrád,Község,1,296,168,0,168,0,168,6,4,4,122,3,12,12,0,5
Tereske,Nógrád,Község,1,535,242,0,242,1,241,3,9,19,159,4,36,9,1,1
Tolmács,Nógrád,Község,1,604,254,0,254,0,254,20,4,28,133,23,25,12,1,8
Vanyarc,Nógrád,Község,1,997,350,0,350,2,348,20,7,26,205,21,49,17,0,3
Varsány,Nógrád,Község,2,1293,557,0,557,3,554,24,3,40,399,13,53,16,4,2
Vizslás,Nógrád,Község,1,1068,312,0,310,0,310,21,4,27,150,9,71,22,2,4
Zabar,Nógrád,Község,1,331,101,0,101,1,100,3,0,12,67,4,11,1,1,1
Abony,Pest,Város,16,11572,3882,0,3882,16,3866,158,71,252,2307,220,567,202,22,67
Acsa,Pest,Község,1,1132,351,0,351,3,348,12,4,20,228,20,50,11,1,2
Albertirsa,Pest,Város,16,10279,3769,1,3767,27,3740,245,116,230,1983,337,609,118,12,90
Alsónémedi,Pest,Község,5,4068,1704,0,1704,15,1689,67,35,109,1046,126,195,78,4,29
Apaj,Pest,Község,1,944,271,0,271,0,271,19,3,29,122,19,50,21,1,7
Áporka,Pest,Község,1,1007,384,0,384,0,384,14,7,30,212,25,73,18,0,5
Aszód,Pest,Város,6,4874,2142,0,2141,11,2130,134,67,133,1076,213,382,76,12,37
Bag,Pest,Község,4,3057,1376,0,1376,4,1372,71,19,85,810,112,206,47,3,19
Bénye,Pest,Község,1,982,422,0,421,5,416,23,10,21,262,23,56,14,1,6
Bernecebaráti,Pest,Község,1,691,318,1,317,4,313,9,6,21,217,16,20,15,2,7
Biatorbágy,Pest,Város,8,10216,5301,0,5296,20,5276,236,190,201,2679,842,781,151,27,169
Budajenő,Pest,Község,2,1546,926,0,926,2,924,33,33,35,462,167,131,32,4,27
Budakalász,Pest,Város,8,8725,4761,0,4760,18,4742,264,197,214,2297,774,657,179,15,145
Budakeszi,Pest,Város,16,11496,6845,1,6841,25,6816,362,262,186,3385,1205,983,131,19,283
Budaörs,Pest,Város,20,22544,12673,4,12657,58,12599,883,481,342,5306,2568,2268,308,29,414
Bugyi,Pest,Község,7,4166,1419,0,1419,9,1410,63,26,58,905,98,173,53,9,25
Cegléd,Pest,Város,33,29434,11720,1,11718,60,11658,677,304,863,6094,982,1957,493,29,259
Ceglédbercel,Pest,Község,5,3621,1414,1,1413,6,1407,76,41,78,798,98,228,41,5,42
Csemő,Pest,Község,3,3379,938,0,938,7,931,44,17,91,554,32,121,51,4,17
Csévharaszt,Pest,Község,2,1663,523,0,523,3,520,22,12,35,337,22,66,15,2,9
Csobánka,Pest,Község,3,2750,1203,1,1202,4,1198,78,78,53,587,188,158,27,7,22
Csomád,Pest,Község,1,1284,568,0,568,3,565,31,15,26,299,82,77,20,1,14
Csömör,Pest,Község,7,7473,3792,2,3790,19,3771,233,130,192,1769,562,655,117,12,101
Csörög,Pest,Község,2,1625,545,0,545,2,543,28,17,37,296,38,94,22,2,9
Csővár,Pest,Község,1,527,237,0,237,2,235,10,4,26,149,12,22,6,0,6
Dabas,Pest,Város,16,13651,5559,0,5559,21,5538,220,132,348,3481,342,717,171,16,111
Dánszentmiklós,Pest,Község,3,2249,707,0,707,3,704,40,12,46,379,45,133,38,3,8
Dány,Pest,Község,4,3567,1457,0,1457,4,1453,41,12,77,1002,76,165,61,1,18
Délegyháza,Pest,Község,3,3690,1298,0,1298,1,1297,63,43,80,652,149,217,57,7,29
Diósd,Pest,Város,8,7811,4256,1,4255,13,4242,259,137,176,1900,732,774,121,8,135
Domony,Pest,Község,3,1710,721,0,721,5,716,35,12,39,430,55,92,38,1,14
Dömsöd,Pest,Község,5,4862,1646,1,1645,8,1637,70,22,95,1036,125,208,57,5,19
Dunabogdány,Pest,Község,3,2567,1313,0,1313,5,1308,31,19,45,928,92,134,31,1,27
Dunaharaszti,Pest,Város,16,17548,7738,1,7726,46,7680,593,280,377,3553,1045,1297,260,26,249
Dunakeszi,Pest,Város,30,33253,16313,3,16304,64,16240,873,583,714,7172,2590,3407,405,42,454
Dunavarsány,Pest,Város,6,6469,2474,0,2474,18,2456,114,85,162,1216,235,473,92,19,60
Ecser,Pest,Község,4,3164,1471,0,1471,4,1467,79,44,100,690,198,276,32,5,43
Érd,Pest,Megyei jogú város,48,53604,25360,3,25350,93,25257,1714,844,1168,12224,3145,4643,801,87,631
Erdőkertes,Pest,Község,6,6702,2653,0,2653,10,2643,127,103,143,1264,248,593,99,19,47
Farmos,Pest,Község,3,2849,903,0,903,4,899,46,16,77,513,48,141,47,0,11
Felsőpakony,Pest,Község,3,2936,1111,0,1111,4,1107,57,33,64,572,95,196,65,3,22
Fót,Pest,Város,16,15942,7410,0,7409,40,7369,487,232,357,3485,872,1445,265,15,211
Galgagyörk,Pest,Község,1,789,355,0,355,3,352,10,7,30,252,13,28,11,0,1
Galgahévíz,Pest,Község,3,2124,887,0,887,6,881,36,10,49,559,49,126,27,3,22
Galgamácsa,Pest,Község,2,1553,591,0,591,5,586,24,16,43,350,39,78,27,3,6
Gomba,Pest,Község,3,2448,860,0,860,8,852,46,36,58,491,64,99,38,3,17
Göd,Pest,Város,17,16026,8472,1,8468,42,8426,453,335,386,3777,1368,1502,294,32,279
Gödöllő,Pest,Város,28,25143,12917,4,12905,43,12862,772,527,580,5914,1926,2179,398,44,522
Gyál,Pest,Város,18,19306,7133,1,7132,30,7102,436,217,445,3384,727,1418,275,20,180
Gyömrő,Pest,Város,16,14444,6139,0,6137,15,6122,314,239,403,2956,713,1115,205,20,157
Halásztelek,Pest,Város,8,8680,3835,0,3832,12,3820,331,115,206,1747,435,762,115,19,90
Herceghalom,Pest,Község,2,1858,1088,1,1087,0,1087,55,46,43,489,238,158,19,3,36
Hernád,Pest,Község,3,3320,1079,0,1079,8,1071,53,24,79,544,80,219,43,5,24
Hévízgyörk,Pest,Község,3,2575,1249,0,1249,10,1239,54,30,82,708,94,194,48,5,24
Iklad,Pest,Község,2,1659,703,0,703,2,701,44,17,54,353,63,128,21,2,19
Inárcs,Pest,Község,4,3718,1462,0,1462,9,1453,57,33,76,790,128,269,52,8,40
Ipolydamásd,Pest,Község,1,317,144,0,144,0,144,8,4,9,94,2,11,11,0,5
Ipolytölgyes,Pest,Község,1,234,101,0,101,1,100,1,0,7,68,10,5,4,1,4
Isaszeg,Pest,Város,8,9249,3675,1,3672,9,3663,225,129,190,1923,333,610,148,16,89
Jászkarajenő,Pest,Község,3,2103,652,0,652,5,647,25,11,43,425,19,64,43,2,15
Kakucs,Pest,Község,3,2287,887,0,887,3,884,53,24,73,490,80,105,34,9,16
Kartal,Pest,Község,6,4766,1774,0,1774,10,1764,82,31,138,1095,105,213,62,3,35
Káva,Pest,Község,1,532,219,0,219,2,217,9,6,17,110,15,43,11,2,4
Kemence,Pest,Község,1,828,420,0,420,2,418,25,12,14,289,17,50,5,1,5
Kerepes,Pest,Város,8,8373,3906,0,3904,16,3888,248,125,236,1868,457,718,139,10,87
Kiskunlacháza,Pest,Község,7,7300,2539,0,2539,7,2532,136,46,213,1404,175,409,96,11,42
Kismaros,Pest,Község,2,1909,1101,0,1101,3,1098,60,39,47,599,117,151,52,7,26
Kisnémedi,Pest,Község,1,576,245,0,245,2,243,14,2,14,149,12,42,8,1,1
Kisoroszi,Pest,Község,1,822,475,1,475,3,472,26,14,23,274,54,61,11,2,7
Kistarcsa,Pest,Város,8,10140,4928,0,4929,35,4894,280,168,279,2441,623,820,158,15,110
Kocsér,Pest,Község,2,1431,578,0,578,2,576,21,9,37,407,26,46,16,2,12
Kóka,Pest,Község,4,3573,1181,0,1180,6,1174,57,29,59,738,62,153,51,4,21
Kosd,Pest,Község,2,2020,946,0,946,5,941,35,40,64,602,59,91,30,2,18
Kóspallag,Pest,Község,1,607,289,0,289,0,289,8,9,21,182,13,19,27,0,10
Kőröstetétlen,Pest,Község,1,656,274,0,274,4,270,10,2,20,184,9,24,12,3,6
Leányfalu,Pest,Község,3,3092,1687,0,1687,5,1682,93,88,75,910,204,227,51,0,34
Letkés,Pest,Község,1,917,437,0,437,2,435,7,5,66,273,11,32,30,2,9
Lórév,Pest,Község,1,255,118,0,118,2,116,9,1,2,63,16,17,0,2,6
Maglód,Pest,Város,8,9904,4239,0,4238,12,4226,235,129,230,2054,463,812,178,22,103
Majosháza,Pest,Község,1,1376,615,0,614,3,611,33,11,49,326,43,117,12,4,16
Makád,Pest,Község,1,1058,370,0,370,3,367,17,4,19,263,8,38,12,3,3
Márianosztra,Pest,Község,1,693,271,0,271,2,269,19,3,23,160,11,37,11,0,5
Mende,Pest,Község,4,3383,1329,0,1329,4,1325,60,44,84,724,102,224,60,8,19
Mikebuda,Pest,Község,1,595,187,0,187,0,187,12,4,12,113,13,19,11,1,2
Mogyoród,Pest,Község,5,5516,2588,0,2585,13,2572,126,58,102,1400,324,394,91,5,72
