község_neve_2011,község_jogállása_2011,megye_2011,kistérség_székhelye_2011,terület_hektár_2011,lakónépesség_2011,lakások_száma_2011,fő_per_hektár,fő_per_lakás,önkormányzat_bolgár_2011,önkormányzat_cigány_2011,önkormányzat_görög_2011,önkormányzat_horvát_2011,önkormányzat_lengyel_2011,önkormányzat_német_2011,önkormányzat_örmény_2011,önkormányzat_román_2011,önkormányzat_ruszin_2011,önkormányzat_szerb_2011,önkormányzat_szlovák_2011,önkormányzat_szlovén_2011,önkormányzat_ukrán_2011
Bábonymegyer,község,Somogy,Tab,2193,815,365,0.37163702690378475,2.232876712328767,0,0,0,0,0,0,0,0,0,0,0,0,0
Babosdöbréte,község,Zala,Zalaegerszeg,1252,511,221,0.40814696485623003,2.3122171945701355,0,0,0,0,0,0,0,0,0,0,0,0,0
Babót,község,Győr-Moson-Sopron,Kapuvár,2167,1089,476,0.5025380710659898,2.28781512605042,0,0,0,0,0,0,0,0,0,0,0,0,0
Bácsalmás,város,Bács-Kiskun,Bácsalmás,10832,6851,3284,0.6324778434268833,2.086175395858709,0,1,0,1,0,1,0,0,0,0,0,0,0
Bácsbokod,nagyközség,Bács-Kiskun,Baja,6393,2694,1245,0.42139840450492727,2.163855421686747,0,0,0,1,0,1,0,0,0,0,0,0,0
Bácsborsód,község,Bács-Kiskun,Baja,7752,1203,427,0.15518575851393188,2.8173302107728335,0,0,0,0,0,1,0,0,0,0,0,0,0
Bácsszentgyörgy,község,Bács-Kiskun,Baja,1473,162,98,0.109979633401222,1.653061224489796,0,0,0,0,0,0,0,0,0,0,0,0,0
Bácsszőlős,község,Bács-Kiskun,Bácsalmás,3883,367,272,0.09451455060520217,1.349264705882353,0,0,0,0,0,0,0,0,0,0,0,0,0
Badacsonytomaj,város,Veszprém,Tapolca,3271,2091,1090,0.6392540507490064,1.918348623853211,0,0,0,0,0,0,0,0,0,0,0,0,0
Badacsonytördemic,község,Veszprém,Tapolca,1025,812,443,0.7921951219512195,1.8329571106094809,0,0,0,0,0,0,0,0,0,0,0,0,0
Bag,nagyközség,Pest,Aszód,2355,3967,1321,1.6845010615711253,3.0030280090840273,0,1,0,0,0,0,0,0,0,0,0,0,0
Bagamér,nagyközség,Hajdú-Bihar,Létavértes,4702,2513,1024,0.5344534240748617,2.4541015625,0,1,0,0,0,0,0,0,0,0,0,0,0
Baglad,község,Zala,Lenti,486,44,43,0.09053497942386832,1.0232558139534884,0,0,0,0,0,0,0,0,0,0,0,0,0
Bagod,község,Zala,Zalaegerszeg,1637,1340,473,0.8185705558949298,2.8329809725158563,0,0,0,0,0,0,0,0,0,0,0,0,0
Bágyogszovát,község,Győr-Moson-Sopron,Csorna,2406,1280,555,0.5320033250207814,2.3063063063063063,0,0,0,0,0,0,0,0,0,0,0,0,0
Baj,község,Komárom-Esztergom,Tata,2113,2847,1045,1.3473734027449125,2.724401913875598,0,0,0,0,0,1,0,0,0,0,0,0,0
Baja,város,Bács-Kiskun,Baja,17761,37508,16085,2.1118180282641745,2.3318619832141745,0,1,0,1,0,1,0,0,0,1,0,0,0
Bajánsenye,község,Vas,Őriszentpéter,2185,475,246,0.21739130434782608,1.9308943089430894,0,0,0,0,0,0,0,0,0,0,0,0,0
